dataset,variant,seed,epochs,wde,fde,sim,auc_j,nss
egtea,v7,256,35,0.34978179675526916,0.18464603484608233,0.20772171,0.7366993741807804,0.84253615
egtea,v8,256,35,0.3536469063255936,0.18773181959986687,0.21569438,0.7382141666056343,0.92193484
egtea,v9,256,35,0.35160139449872074,0.1861994847189635,0.21204871,0.7454380137193326,0.8854589
egtea,v10,256,35,0.3482812662608922,0.1835936694405973,0.1809022,0.7047240975774817,0.63599277
egtea,v11,256,35,0.352667461335659,0.1863659606780857,0.20916647,0.7374555435280618,0.85696983
egtea,v12,256,35,0.3497692256700248,0.18468466033227743,0.20789057,0.7362241562748391,0.8496377
egtea,baseline,777,35,0.35375118982046844,0.19007124714553356,0.20051795,0.727948120436622,0.7884551
egtea,v1,777,35,0.34414989813230934,0.18089100711513312,0.21595736,0.7536853559862642,0.9277941
egtea,v2,777,35,0.34383791745640335,0.18019263984169812,0.2144931,0.7531680719947336,0.91066366
egtea,v3,777,35,0.33967666295357046,0.17538292803801597,0.19479789,0.7268842331708251,0.74860644
egtea,v4,777,35,0.33730081655085087,0.17588008001912386,0.19990271,0.7413820627832672,0.8234665
egtea,v5,777,35,0.34507044511847196,0.18104789075441657,0.20666125,0.7450317683233193,0.8573032
egtea,v6,777,35,0.3479119480587542,0.17971197930164634,0.22097063,0.7571133234208595,0.97885257
egtea,v7,777,35,0.35021002069115637,0.1810374150518328,0.22191796,0.7530268677040198,0.962689
egtea,v8,777,35,0.3473395497072488,0.17952767701353878,0.22579016,0.7618274605449197,1.0105997
egtea,v9,777,35,0.34716377765871587,0.17969369706697763,0.22525354,0.7579804384518517,0.99813455
egtea,v10,777,35,0.3418176725972444,0.17991305980831385,0.19167411,0.7022534869492527,0.77096015
egtea,v11,777,35,0.34301415565423665,0.17847173972986638,0.21606821,0.7566799228815613,0.9074241
egtea,v12,777,35,0.3436998466029763,0.178665866330266,0.22223929,0.7536253876367661,0.96608806
egtea,baseline,2025,35,0.36276337830349803,0.18860501023009418,0.17458004,0.7071880749453145,0.5829151
egtea,v1,2025,35,0.35469293654896317,0.18673913995735347,0.16651063,0.6971482361090328,0.5222323
egtea,v2,2025,35,0.3535775352735072,0.18938438976183533,0.18558764,0.6991796603718597,0.6478958
egtea,v3,2025,35,0.35476000239141287,0.18514639663044363,0.16440344,0.6668179967536324,0.46805257
egtea,v4,2025,35,0.35077766319736836,0.18739360719919204,0.20422186,0.7308323925370565,0.8338325
egtea,v5,2025,35,0.34963171831332146,0.18642753465101122,0.18506965,0.6984886105871552,0.6632577
egtea,v6,2025,35,0.3537338224239647,0.1864145420026034,0.19312367,0.7080757338869113,0.700667
egtea,v7,2025,35,0.36014008726924657,0.19093520930036903,0.1742753,0.6895211678475288,0.5506873
egtea,v8,2025,35,0.3607090923003852,0.19081447515636682,0.1856876,0.694849034155147,0.6355423
egtea,v9,2025,35,0.3584554248955101,0.18929328033700585,0.18952051,0.7111403685545962,0.6805048
egtea,v10,2025,35,0.3587145946919918,0.1935018588323146,0.16844839,0.7170984993653124,0.5256067
egtea,v11,2025,35,0.3521958475001156,0.18929093615151943,0.18761207,0.7109280265634117,0.6688327
egtea,v12,2025,35,0.3508924750611186,0.1882144184783101,0.1911608,0.7088040386954844,0.6945652
meccano,baseline,13,35,0.4329593039932661,0.23139385208487512,0.20631748,0.7728109985180299,0.98657995
meccano,v1,13,35,0.3189728286350146,0.16533363255904987,0.20896855,0.7770244280918357,1.0121651999999999
meccano,v2,13,35,0.34249280174262825,0.17902363021159545,0.21189623,0.7794840765693936,1.0388973
meccano,v3,13,35,0.36851393847027797,0.18431822974700482,0.2114809,0.7766659752770969,1.0156402
meccano,v4,13,35,0.35026062502292915,0.18274481791770086,0.21286761,0.7842160674490732,1.0613730000000001
meccano,v5,13,35,0.33942321012727916,0.1774506941542495,0.21151752000000001,0.7771041096211047,1.02140013
meccano,v6,13,35,0.2954481986584142,0.14634044602746143,0.2100795,0.7768616301255616,1.025715
meccano,v7,13,35,0.30435926155187193,0.1533304697298445,0.21196053,0.7769675993994976,1.0267101
meccano,v8,13,35,0.3104077262687497,0.16111169010866433,0.20599653,0.7719481741969865,0.9959986000000001
meccano,v9,13,35,0.3022762849694118,0.15492749391589314,0.20607262,0.7680909119446819,0.9765639700000001
meccano,v10,13,35,0.3370593338739127,0.18182820475078187,0.21189955,0.7806418539846485,1.0401646
