==========================================
=== v7: Clamped gaze_alpha (max=0.1)  ===
==========================================
=== v7 TRAINING ===
python traineval.py --ek_version=egtea --epochs=30 --batch_size=32 --num_classes=106 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True --use_gaze --gaze_alpha_clamp=0.1
training dataset size: 1880
evaluation dataset size: 69
Epoch:0 (12/59) Data: 0.001004s | Batch: 0.504s | future_traj_r_loss: 0.074 | future_traj_l_loss: 0.221 | rec_r_loss: 0.206| rec_l_loss: 0.197| total_loss: 0.627 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.062 
Epoch:0 (13/59) Data: 0.001033s | Batch: 0.475s | future_traj_r_loss: 0.129 | future_traj_l_loss: 0.292 | rec_r_loss: 0.219| rec_l_loss: 0.190| total_loss: 0.597 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.123 
Epoch:0 (14/59) Data: 0.001060s | Batch: 0.450s | future_traj_r_loss: 0.103 | future_traj_l_loss: 0.223 | rec_r_loss: 0.187| rec_l_loss: 0.193| total_loss: 0.542 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.074 
Epoch:0 (15/59) Data: 0.001011s | Batch: 0.429s | future_traj_r_loss: 0.148 | future_traj_l_loss: 0.192 | rec_r_loss: 0.171| rec_l_loss: 0.169| total_loss: 0.590 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.061 
Epoch:0 (16/59) Data: 0.000934s | Batch: 0.410s | future_traj_r_loss: 0.179 | future_traj_l_loss: 0.220 | rec_r_loss: 0.180| rec_l_loss: 0.161| total_loss: 0.610 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.108 
Epoch:0 (17/59) Data: 0.001187s | Batch: 0.394s | future_traj_r_loss: 0.138 | future_traj_l_loss: 0.149 | rec_r_loss: 0.176| rec_l_loss: 0.172| total_loss: 0.589 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.078 
Epoch:0 (18/59) Data: 0.000964s | Batch: 0.379s | future_traj_r_loss: 0.160 | future_traj_l_loss: 0.099 | rec_r_loss: 0.184| rec_l_loss: 0.170| total_loss: 0.524 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.091 
Epoch:0 (19/59) Data: 0.001177s | Batch: 0.367s | future_traj_r_loss: 0.133 | future_traj_l_loss: 0.102 | rec_r_loss: 0.189| rec_l_loss: 0.185| total_loss: 0.502 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.059 
Epoch:0 (20/59) Data: 0.000968s | Batch: 0.355s | future_traj_r_loss: 0.177 | future_traj_l_loss: 0.205 | rec_r_loss: 0.182| rec_l_loss: 0.172| total_loss: 0.565 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.067 
Epoch:0 (21/59) Data: 0.000968s | Batch: 0.344s | future_traj_r_loss: 0.093 | future_traj_l_loss: 0.183 | rec_r_loss: 0.176| rec_l_loss: 0.171| total_loss: 0.512 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.088 
