python traineval.py --ek_version=egtea --epochs=30 --batch_size=32 --num_classes=106 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True --use_gaze
training dataset size: 1880
evaluation dataset size: 69
Epoch:0 (23/59) Data: 0.000923s | Batch: 0.336s | future_traj_r_loss: 0.079 | future_traj_l_loss: 0.179 | rec_r_loss: 0.166| rec_l_loss: 0.169| total_loss: 0.492 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.053 
Epoch:0 (24/59) Data: 0.000969s | Batch: 0.327s | future_traj_r_loss: 0.152 | future_traj_l_loss: 0.277 | rec_r_loss: 0.144| rec_l_loss: 0.140| total_loss: 0.631 | future_valid_r: 32.0 | future_valid_l: 18.0 | obj_loss: 0.049 
Epoch:0 (25/59) Data: 0.000928s | Batch: 0.318s | future_traj_r_loss: 0.098 | future_traj_l_loss: 0.129 | rec_r_loss: 0.144| rec_l_loss: 0.146| total_loss: 0.429 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.061 
Epoch:0 (26/59) Data: 0.001996s | Batch: 0.310s | future_traj_r_loss: 0.167 | future_traj_l_loss: 0.152 | rec_r_loss: 0.145| rec_l_loss: 0.152| total_loss: 0.506 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.084 
Epoch:0 (27/59) Data: 0.000926s | Batch: 0.303s | future_traj_r_loss: 0.144 | future_traj_l_loss: 0.136 | rec_r_loss: 0.163| rec_l_loss: 0.160| total_loss: 0.515 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.071 
Epoch:0 (28/59) Data: 0.000762s | Batch: 0.297s | future_traj_r_loss: 0.202 | future_traj_l_loss: 0.190 | rec_r_loss: 0.145| rec_l_loss: 0.134| total_loss: 0.579 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.061 
Epoch:0 (29/59) Data: 0.001782s | Batch: 0.291s | future_traj_r_loss: 0.127 | future_traj_l_loss: 0.095 | rec_r_loss: 0.147| rec_l_loss: 0.131| total_loss: 0.456 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.061 
Epoch:0 (30/59) Data: 0.000747s | Batch: 0.285s | future_traj_r_loss: 0.134 | future_traj_l_loss: 0.153 | rec_r_loss: 0.135| rec_l_loss: 0.138| total_loss: 0.496 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.047 
Epoch:0 (31/59) Data: 0.000731s | Batch: 0.279s | future_traj_r_loss: 0.088 | future_traj_l_loss: 0.160 | rec_r_loss: 0.137| rec_l_loss: 0.135| total_loss: 0.406 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.055 
Epoch:0 (32/59) Data: 0.000701s | Batch: 0.274s | future_traj_r_loss: 0.118 | future_traj_l_loss: 0.164 | rec_r_loss: 0.139| rec_l_loss: 0.133| total_loss: 0.445 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.054 
Epoch:0 (33/59) Data: 0.000777s | Batch: 0.269s | future_traj_r_loss: 0.169 | future_traj_l_loss: 0.164 | rec_r_loss: 0.125| rec_l_loss: 0.122| total_loss: 0.503 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.055 
Epoch:0 (34/59) Data: 0.000762s | Batch: 0.265s | future_traj_r_loss: 0.104 | future_traj_l_loss: 0.193 | rec_r_loss: 0.133| rec_l_loss: 0.132| total_loss: 0.467 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.037 
Epoch:0 (35/59) Data: 0.000762s | Batch: 0.260s | future_traj_r_loss: 0.148 | future_traj_l_loss: 0.241 | rec_r_loss: 0.135| rec_l_loss: 0.124| total_loss: 0.461 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.041 
Epoch:0 (36/59) Data: 0.000724s | Batch: 0.256s | future_traj_r_loss: 0.075 | future_traj_l_loss: 0.178 | rec_r_loss: 0.122| rec_l_loss: 0.115| total_loss: 0.413 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.025 
Epoch:0 (37/59) Data: 0.000765s | Batch: 0.252s | future_traj_r_loss: 0.118 | future_traj_l_loss: 0.171 | rec_r_loss: 0.122| rec_l_loss: 0.123| total_loss: 0.423 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.047 
Epoch:0 (38/59) Data: 0.000737s | Batch: 0.249s | future_traj_r_loss: 0.145 | future_traj_l_loss: 0.125 | rec_r_loss: 0.124| rec_l_loss: 0.117| total_loss: 0.402 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.047 
