==========================================
=== MECCANO BASELINE (30ep) ===
==========================================
=== TRAINING ===
python traineval.py --ek_version=meccano --epochs=30 --batch_size=32 --num_classes=61 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True
training dataset size: 4679
evaluation dataset size: 2584
Epoch:0 (1/147) Data: 1.273503s | Batch: 1.895s | future_traj_r_loss: 0.368 | future_traj_l_loss: 0.210 | rec_r_loss: 1.001| rec_l_loss: 1.005| total_loss: 2.622 | future_valid_r: 29.0 | future_valid_l: 31.0 | obj_loss: 0.505 
Epoch:0 (2/147) Data: 0.000906s | Batch: 1.030s | future_traj_r_loss: 0.195 | future_traj_l_loss: 0.457 | rec_r_loss: 0.715| rec_l_loss: 0.718| total_loss: 2.024 | future_valid_r: 31.0 | future_valid_l: 27.0 | obj_loss: 0.119 
Epoch:0 (3/147) Data: 0.000839s | Batch: 0.728s | future_traj_r_loss: 0.167 | future_traj_l_loss: 0.252 | rec_r_loss: 0.513| rec_l_loss: 0.513| total_loss: 1.540 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.153 
Epoch:0 (4/147) Data: 0.001073s | Batch: 0.581s | future_traj_r_loss: 0.225 | future_traj_l_loss: 0.370 | rec_r_loss: 0.380| rec_l_loss: 0.377| total_loss: 1.406 | future_valid_r: 29.0 | future_valid_l: 31.0 | obj_loss: 0.093 
Epoch:0 (5/147) Data: 0.000857s | Batch: 0.488s | future_traj_r_loss: 0.244 | future_traj_l_loss: 0.242 | rec_r_loss: 0.292| rec_l_loss: 0.296| total_loss: 1.147 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.077 
Epoch:0 (6/147) Data: 0.000767s | Batch: 0.426s | future_traj_r_loss: 0.291 | future_traj_l_loss: 0.267 | rec_r_loss: 0.232| rec_l_loss: 0.233| total_loss: 1.133 | future_valid_r: 31.0 | future_valid_l: 30.0 | obj_loss: 0.128 
Epoch:0 (7/147) Data: 0.000806s | Batch: 0.382s | future_traj_r_loss: 0.207 | future_traj_l_loss: 0.237 | rec_r_loss: 0.238| rec_l_loss: 0.238| total_loss: 1.002 | future_valid_r: 32.0 | future_valid_l: 30.0 | obj_loss: 0.109 
Epoch:0 (8/147) Data: 0.000799s | Batch: 0.349s | future_traj_r_loss: 0.186 | future_traj_l_loss: 0.279 | rec_r_loss: 0.227| rec_l_loss: 0.222| total_loss: 0.935 | future_valid_r: 29.0 | future_valid_l: 29.0 | obj_loss: 0.082 
Epoch:0 (9/147) Data: 0.000804s | Batch: 0.323s | future_traj_r_loss: 0.268 | future_traj_l_loss: 0.355 | rec_r_loss: 0.222| rec_l_loss: 0.231| total_loss: 1.135 | future_valid_r: 30.0 | future_valid_l: 28.0 | obj_loss: 0.167 
Epoch:0 (10/147) Data: 0.000787s | Batch: 0.303s | future_traj_r_loss: 0.211 | future_traj_l_loss: 0.257 | rec_r_loss: 0.247| rec_l_loss: 0.247| total_loss: 1.044 | future_valid_r: 31.0 | future_valid_l: 30.0 | obj_loss: 0.117 
Epoch:0 (11/147) Data: 0.000807s | Batch: 0.286s | future_traj_r_loss: 0.274 | future_traj_l_loss: 0.313 | rec_r_loss: 0.196| rec_l_loss: 0.198| total_loss: 1.098 | future_valid_r: 32.0 | future_valid_l: 30.0 | obj_loss: 0.101 
