True
Starting training...
python traineval.py --ek_version=ek100 --epochs=30 --batch_size=32
training dataset size: 24148
evaluation dataset size: 401
Epoch:0 (23/755) Data: 0.000648s | Batch: 0.213s | future_traj_r_loss: 0.226 | future_traj_l_loss: 0.222 | rec_r_loss: 0.263| rec_l_loss: 0.250| total_loss: 0.936 | future_valid_r: 32.0 | future_valid_l: 22.0 | obj_loss: 0.077 
Epoch:0 (24/755) Data: 0.000717s | Batch: 0.208s | future_traj_r_loss: 0.180 | future_traj_l_loss: 0.239 | rec_r_loss: 0.246| rec_l_loss: 0.239| total_loss: 0.801 | future_valid_r: 32.0 | future_valid_l: 18.0 | obj_loss: 0.058 
Epoch:0 (25/755) Data: 0.000680s | Batch: 0.203s | future_traj_r_loss: 0.315 | future_traj_l_loss: 0.309 | rec_r_loss: 0.285| rec_l_loss: 0.297| total_loss: 1.000 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.057 
Epoch:0 (26/755) Data: 0.000684s | Batch: 0.198s | future_traj_r_loss: 0.222 | future_traj_l_loss: 0.242 | rec_r_loss: 0.249| rec_l_loss: 0.238| total_loss: 0.883 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.063 
Epoch:0 (27/755) Data: 0.000672s | Batch: 0.194s | future_traj_r_loss: 0.206 | future_traj_l_loss: 0.254 | rec_r_loss: 0.250| rec_l_loss: 0.262| total_loss: 0.857 | future_valid_r: 32.0 | future_valid_l: 19.0 | obj_loss: 0.085 
Epoch:0 (28/755) Data: 0.000740s | Batch: 0.191s | future_traj_r_loss: 0.188 | future_traj_l_loss: 0.237 | rec_r_loss: 0.241| rec_l_loss: 0.238| total_loss: 0.892 | future_valid_r: 32.0 | future_valid_l: 24.0 | obj_loss: 0.053 
Epoch:0 (29/755) Data: 0.000710s | Batch: 0.187s | future_traj_r_loss: 0.321 | future_traj_l_loss: 0.231 | rec_r_loss: 0.224| rec_l_loss: 0.214| total_loss: 0.972 | future_valid_r: 32.0 | future_valid_l: 22.0 | obj_loss: 0.053 
Epoch:0 (30/755) Data: 0.000686s | Batch: 0.184s | future_traj_r_loss: 0.233 | future_traj_l_loss: 0.204 | rec_r_loss: 0.224| rec_l_loss: 0.210| total_loss: 0.782 | future_valid_r: 32.0 | future_valid_l: 18.0 | obj_loss: 0.050 
Epoch:0 (31/755) Data: 0.000685s | Batch: 0.180s | future_traj_r_loss: 0.274 | future_traj_l_loss: 0.256 | rec_r_loss: 0.215| rec_l_loss: 0.210| total_loss: 0.891 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.084 
Epoch:0 (32/755) Data: 0.000714s | Batch: 0.177s | future_traj_r_loss: 0.221 | future_traj_l_loss: 0.273 | rec_r_loss: 0.225| rec_l_loss: 0.224| total_loss: 0.796 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.054 
