python traineval.py --ek_version=egtea --epochs=30 --batch_size=32 --num_classes=106 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True --use_gaze
training dataset size: 1880
evaluation dataset size: 69
Epoch:0 (1/59) Data: 3.404990s | Batch: 4.440s | future_traj_r_loss: 0.360 | future_traj_l_loss: 0.556 | rec_r_loss: 0.978| rec_l_loss: 0.982| total_loss: 2.368 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.579 
Epoch:0 (2/59) Data: 0.001078s | Batch: 2.290s | future_traj_r_loss: 0.239 | future_traj_l_loss: 0.122 | rec_r_loss: 0.824| rec_l_loss: 0.827| total_loss: 1.645 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.102 
Epoch:0 (3/59) Data: 0.001022s | Batch: 1.570s | future_traj_r_loss: 0.216 | future_traj_l_loss: 0.219 | rec_r_loss: 0.649| rec_l_loss: 0.632| total_loss: 1.374 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.211 
Epoch:0 (4/59) Data: 0.001099s | Batch: 1.210s | future_traj_r_loss: 0.088 | future_traj_l_loss: 0.211 | rec_r_loss: 0.517| rec_l_loss: 0.473| total_loss: 1.031 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.057 
Epoch:0 (5/59) Data: 0.000933s | Batch: 0.993s | future_traj_r_loss: 0.107 | future_traj_l_loss: 0.190 | rec_r_loss: 0.395| rec_l_loss: 0.405| total_loss: 0.719 | future_valid_r: 32.0 | future_valid_l: 7.0 | obj_loss: 0.229 
Epoch:0 (6/59) Data: 0.000972s | Batch: 0.850s | future_traj_r_loss: 0.117 | future_traj_l_loss: 0.162 | rec_r_loss: 0.289| rec_l_loss: 0.286| total_loss: 0.688 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.109 
Epoch:0 (7/59) Data: 0.001050s | Batch: 0.746s | future_traj_r_loss: 0.097 | future_traj_l_loss: 0.124 | rec_r_loss: 0.228| rec_l_loss: 0.239| total_loss: 0.600 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.054 
Epoch:0 (8/59) Data: 0.000907s | Batch: 0.669s | future_traj_r_loss: 0.180 | future_traj_l_loss: 0.189 | rec_r_loss: 0.249| rec_l_loss: 0.240| total_loss: 0.719 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.097 
Epoch:0 (9/59) Data: 0.000928s | Batch: 0.608s | future_traj_r_loss: 0.100 | future_traj_l_loss: 0.316 | rec_r_loss: 0.295| rec_l_loss: 0.377| total_loss: 0.714 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.056 
Epoch:0 (10/59) Data: 0.000904s | Batch: 0.560s | future_traj_r_loss: 0.148 | future_traj_l_loss: 0.264 | rec_r_loss: 0.258| rec_l_loss: 0.295| total_loss: 0.694 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.113 
Epoch:0 (11/59) Data: 0.001031s | Batch: 0.520s | future_traj_r_loss: 0.120 | future_traj_l_loss: 0.243 | rec_r_loss: 0.308| rec_l_loss: 0.280| total_loss: 0.743 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.064 
Epoch:0 (12/59) Data: 0.001025s | Batch: 0.487s | future_traj_r_loss: 0.075 | future_traj_l_loss: 0.218 | rec_r_loss: 0.209| rec_l_loss: 0.199| total_loss: 0.626 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.034 
Epoch:0 (13/59) Data: 0.000914s | Batch: 0.460s | future_traj_r_loss: 0.129 | future_traj_l_loss: 0.296 | rec_r_loss: 0.222| rec_l_loss: 0.193| total_loss: 0.603 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.106 
Epoch:0 (14/59) Data: 0.001112s | Batch: 0.436s | future_traj_r_loss: 0.104 | future_traj_l_loss: 0.222 | rec_r_loss: 0.190| rec_l_loss: 0.195| total_loss: 0.544 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.058 
Epoch:0 (15/59) Data: 0.001070s | Batch: 0.416s | future_traj_r_loss: 0.148 | future_traj_l_loss: 0.189 | rec_r_loss: 0.170| rec_l_loss: 0.167| total_loss: 0.585 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.060 
Epoch:0 (16/59) Data: 0.001057s | Batch: 0.398s | future_traj_r_loss: 0.178 | future_traj_l_loss: 0.217 | rec_r_loss: 0.177| rec_l_loss: 0.160| total_loss: 0.600 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.072 
Epoch:0 (17/59) Data: 0.001049s | Batch: 0.383s | future_traj_r_loss: 0.138 | future_traj_l_loss: 0.149 | rec_r_loss: 0.174| rec_l_loss: 0.169| total_loss: 0.583 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.052 
Epoch:0 (18/59) Data: 0.001065s | Batch: 0.369s | future_traj_r_loss: 0.159 | future_traj_l_loss: 0.101 | rec_r_loss: 0.182| rec_l_loss: 0.168| total_loss: 0.519 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.074 
Epoch:0 (19/59) Data: 0.000949s | Batch: 0.356s | future_traj_r_loss: 0.132 | future_traj_l_loss: 0.105 | rec_r_loss: 0.188| rec_l_loss: 0.183| total_loss: 0.502 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.068 
Epoch:0 (20/59) Data: 0.000894s | Batch: 0.344s | future_traj_r_loss: 0.175 | future_traj_l_loss: 0.205 | rec_r_loss: 0.183| rec_l_loss: 0.173| total_loss: 0.563 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.064 
