python traineval.py --ek_version=egtea --epochs=30 --batch_size=32 --num_classes=106 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True --use_gaze
training dataset size: 1880
evaluation dataset size: 69
Epoch:0 (1/59) Data: 3.364749s | Batch: 4.541s | future_traj_r_loss: 0.358 | future_traj_l_loss: 0.560 | rec_r_loss: 0.969| rec_l_loss: 0.970| total_loss: 2.354 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.599 
Epoch:0 (2/59) Data: 0.001051s | Batch: 2.337s | future_traj_r_loss: 0.232 | future_traj_l_loss: 0.139 | rec_r_loss: 0.830| rec_l_loss: 0.834| total_loss: 1.655 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.104 
Epoch:0 (3/59) Data: 0.001017s | Batch: 1.603s | future_traj_r_loss: 0.221 | future_traj_l_loss: 0.207 | rec_r_loss: 0.652| rec_l_loss: 0.636| total_loss: 1.380 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.226 
Epoch:0 (4/59) Data: 0.001150s | Batch: 1.233s | future_traj_r_loss: 0.093 | future_traj_l_loss: 0.203 | rec_r_loss: 0.517| rec_l_loss: 0.470| total_loss: 1.029 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.061 
Epoch:0 (5/59) Data: 0.000937s | Batch: 1.013s | future_traj_r_loss: 0.108 | future_traj_l_loss: 0.195 | rec_r_loss: 0.392| rec_l_loss: 0.402| total_loss: 0.715 | future_valid_r: 32.0 | future_valid_l: 7.0 | obj_loss: 0.223 
Epoch:0 (6/59) Data: 0.001088s | Batch: 0.866s | future_traj_r_loss: 0.115 | future_traj_l_loss: 0.172 | rec_r_loss: 0.287| rec_l_loss: 0.285| total_loss: 0.689 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.125 
Epoch:0 (7/59) Data: 0.001845s | Batch: 0.760s | future_traj_r_loss: 0.095 | future_traj_l_loss: 0.130 | rec_r_loss: 0.228| rec_l_loss: 0.239| total_loss: 0.600 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.050 
Epoch:0 (8/59) Data: 0.000952s | Batch: 0.681s | future_traj_r_loss: 0.181 | future_traj_l_loss: 0.184 | rec_r_loss: 0.255| rec_l_loss: 0.248| total_loss: 0.726 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.085 
Epoch:0 (9/59) Data: 0.000992s | Batch: 0.620s | future_traj_r_loss: 0.103 | future_traj_l_loss: 0.307 | rec_r_loss: 0.301| rec_l_loss: 0.385| total_loss: 0.723 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.057 
Epoch:0 (10/59) Data: 0.001004s | Batch: 0.570s | future_traj_r_loss: 0.151 | future_traj_l_loss: 0.257 | rec_r_loss: 0.257| rec_l_loss: 0.294| total_loss: 0.694 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.123 
Epoch:0 (11/59) Data: 0.001032s | Batch: 0.530s | future_traj_r_loss: 0.119 | future_traj_l_loss: 0.234 | rec_r_loss: 0.305| rec_l_loss: 0.278| total_loss: 0.733 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.066 
Epoch:0 (12/59) Data: 0.001058s | Batch: 0.499s | future_traj_r_loss: 0.075 | future_traj_l_loss: 0.217 | rec_r_loss: 0.207| rec_l_loss: 0.197| total_loss: 0.622 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.031 
Epoch:0 (13/59) Data: 0.000988s | Batch: 0.470s | future_traj_r_loss: 0.130 | future_traj_l_loss: 0.294 | rec_r_loss: 0.220| rec_l_loss: 0.192| total_loss: 0.599 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.109 
Epoch:0 (14/59) Data: 0.001095s | Batch: 0.446s | future_traj_r_loss: 0.103 | future_traj_l_loss: 0.227 | rec_r_loss: 0.189| rec_l_loss: 0.192| total_loss: 0.545 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.070 
Epoch:0 (15/59) Data: 0.001071s | Batch: 0.424s | future_traj_r_loss: 0.146 | future_traj_l_loss: 0.194 | rec_r_loss: 0.172| rec_l_loss: 0.170| total_loss: 0.590 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.059 
Epoch:0 (16/59) Data: 0.000948s | Batch: 0.406s | future_traj_r_loss: 0.177 | future_traj_l_loss: 0.221 | rec_r_loss: 0.180| rec_l_loss: 0.162| total_loss: 0.604 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.062 
Epoch:0 (17/59) Data: 0.001093s | Batch: 0.390s | future_traj_r_loss: 0.136 | future_traj_l_loss: 0.150 | rec_r_loss: 0.176| rec_l_loss: 0.171| total_loss: 0.586 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.048 
Epoch:0 (18/59) Data: 0.001107s | Batch: 0.376s | future_traj_r_loss: 0.160 | future_traj_l_loss: 0.099 | rec_r_loss: 0.183| rec_l_loss: 0.170| total_loss: 0.521 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.072 
Epoch:0 (19/59) Data: 0.001034s | Batch: 0.363s | future_traj_r_loss: 0.132 | future_traj_l_loss: 0.104 | rec_r_loss: 0.190| rec_l_loss: 0.185| total_loss: 0.503 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.071 
Epoch:0 (20/59) Data: 0.000945s | Batch: 0.351s | future_traj_r_loss: 0.178 | future_traj_l_loss: 0.204 | rec_r_loss: 0.183| rec_l_loss: 0.173| total_loss: 0.566 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.064 
Epoch:0 (21/59) Data: 0.001000s | Batch: 0.340s | future_traj_r_loss: 0.093 | future_traj_l_loss: 0.178 | rec_r_loss: 0.177| rec_l_loss: 0.171| total_loss: 0.509 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.072 
Epoch:0 (22/59) Data: 0.000911s | Batch: 0.330s | future_traj_r_loss: 0.105 | future_traj_l_loss: 0.141 | rec_r_loss: 0.177| rec_l_loss: 0.169| total_loss: 0.457 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.051 
Epoch:0 (23/59) Data: 0.000964s | Batch: 0.321s | future_traj_r_loss: 0.080 | future_traj_l_loss: 0.178 | rec_r_loss: 0.166| rec_l_loss: 0.170| total_loss: 0.492 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.039 
Epoch:0 (24/59) Data: 0.000917s | Batch: 0.313s | future_traj_r_loss: 0.152 | future_traj_l_loss: 0.274 | rec_r_loss: 0.145| rec_l_loss: 0.141| total_loss: 0.632 | future_valid_r: 32.0 | future_valid_l: 18.0 | obj_loss: 0.067 
Epoch:0 (25/59) Data: 0.002007s | Batch: 0.305s | future_traj_r_loss: 0.099 | future_traj_l_loss: 0.128 | rec_r_loss: 0.145| rec_l_loss: 0.147| total_loss: 0.432 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.063 
Epoch:0 (26/59) Data: 0.000893s | Batch: 0.298s | future_traj_r_loss: 0.167 | future_traj_l_loss: 0.151 | rec_r_loss: 0.146| rec_l_loss: 0.152| total_loss: 0.503 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.065 
Epoch:0 (27/59) Data: 0.000959s | Batch: 0.291s | future_traj_r_loss: 0.144 | future_traj_l_loss: 0.137 | rec_r_loss: 0.162| rec_l_loss: 0.159| total_loss: 0.513 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.065 
Epoch:0 (28/59) Data: 0.000887s | Batch: 0.285s | future_traj_r_loss: 0.201 | future_traj_l_loss: 0.190 | rec_r_loss: 0.144| rec_l_loss: 0.134| total_loss: 0.575 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.044 
Epoch:0 (29/59) Data: 0.000769s | Batch: 0.280s | future_traj_r_loss: 0.126 | future_traj_l_loss: 0.097 | rec_r_loss: 0.147| rec_l_loss: 0.132| total_loss: 0.454 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.050 
Epoch:0 (30/59) Data: 0.000769s | Batch: 0.274s | future_traj_r_loss: 0.133 | future_traj_l_loss: 0.154 | rec_r_loss: 0.135| rec_l_loss: 0.139| total_loss: 0.495 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.049 
Epoch:0 (31/59) Data: 0.000749s | Batch: 0.269s | future_traj_r_loss: 0.088 | future_traj_l_loss: 0.161 | rec_r_loss: 0.137| rec_l_loss: 0.134| total_loss: 0.403 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.026 
Epoch:0 (32/59) Data: 0.000738s | Batch: 0.265s | future_traj_r_loss: 0.118 | future_traj_l_loss: 0.162 | rec_r_loss: 0.139| rec_l_loss: 0.134| total_loss: 0.443 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.035 
Epoch:0 (33/59) Data: 0.000795s | Batch: 0.260s | future_traj_r_loss: 0.169 | future_traj_l_loss: 0.163 | rec_r_loss: 0.125| rec_l_loss: 0.121| total_loss: 0.505 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.084 
Epoch:0 (34/59) Data: 0.000788s | Batch: 0.256s | future_traj_r_loss: 0.105 | future_traj_l_loss: 0.192 | rec_r_loss: 0.132| rec_l_loss: 0.132| total_loss: 0.467 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.042 
Epoch:0 (35/59) Data: 0.000778s | Batch: 0.252s | future_traj_r_loss: 0.149 | future_traj_l_loss: 0.242 | rec_r_loss: 0.134| rec_l_loss: 0.125| total_loss: 0.463 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.056 
Epoch:0 (36/59) Data: 0.000743s | Batch: 0.248s | future_traj_r_loss: 0.074 | future_traj_l_loss: 0.178 | rec_r_loss: 0.122| rec_l_loss: 0.114| total_loss: 0.413 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.033 
Epoch:0 (37/59) Data: 0.000720s | Batch: 0.245s | future_traj_r_loss: 0.117 | future_traj_l_loss: 0.171 | rec_r_loss: 0.121| rec_l_loss: 0.122| total_loss: 0.420 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.035 
Epoch:0 (38/59) Data: 0.000721s | Batch: 0.241s | future_traj_r_loss: 0.145 | future_traj_l_loss: 0.124 | rec_r_loss: 0.124| rec_l_loss: 0.118| total_loss: 0.401 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.040 
Epoch:0 (39/59) Data: 0.000712s | Batch: 0.238s | future_traj_r_loss: 0.126 | future_traj_l_loss: 0.199 | rec_r_loss: 0.122| rec_l_loss: 0.121| total_loss: 0.458 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.055 
Epoch:0 (40/59) Data: 0.000737s | Batch: 0.235s | future_traj_r_loss: 0.100 | future_traj_l_loss: 0.125 | rec_r_loss: 0.122| rec_l_loss: 0.121| total_loss: 0.366 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.045 
