==========================================
=== MECCANO BASELINE (30ep) ===
==========================================
=== TRAINING ===
python traineval.py --ek_version=meccano --epochs=30 --batch_size=32 --num_classes=61 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True
training dataset size: 4679
evaluation dataset size: 2584
Epoch:0 (23/147) Data: 0.001448s | Batch: 9.703s | future_traj_r_loss: 0.231 | future_traj_l_loss: 0.250 | rec_r_loss: 0.131| rec_l_loss: 0.130| total_loss: 0.839 | future_valid_r: 32.0 | future_valid_l: 30.0 | obj_loss: 0.114 
Epoch:0 (24/147) Data: 0.001577s | Batch: 9.304s | future_traj_r_loss: 0.222 | future_traj_l_loss: 0.227 | rec_r_loss: 0.116| rec_l_loss: 0.119| total_loss: 0.773 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.128 
Epoch:0 (25/147) Data: 0.001453s | Batch: 8.938s | future_traj_r_loss: 0.265 | future_traj_l_loss: 0.340 | rec_r_loss: 0.122| rec_l_loss: 0.122| total_loss: 0.922 | future_valid_r: 27.0 | future_valid_l: 31.0 | obj_loss: 0.094 
Epoch:0 (26/147) Data: 0.001326s | Batch: 8.599s | future_traj_r_loss: 0.186 | future_traj_l_loss: 0.262 | rec_r_loss: 0.123| rec_l_loss: 0.122| total_loss: 0.796 | future_valid_r: 31.0 | future_valid_l: 32.0 | obj_loss: 0.044 
Epoch:0 (27/147) Data: 0.001648s | Batch: 8.286s | future_traj_r_loss: 0.232 | future_traj_l_loss: 0.388 | rec_r_loss: 0.125| rec_l_loss: 0.124| total_loss: 0.963 | future_valid_r: 30.0 | future_valid_l: 30.0 | obj_loss: 0.121 
Epoch:0 (28/147) Data: 0.001226s | Batch: 7.996s | future_traj_r_loss: 0.178 | future_traj_l_loss: 0.193 | rec_r_loss: 0.111| rec_l_loss: 0.111| total_loss: 0.668 | future_valid_r: 31.0 | future_valid_l: 31.0 | obj_loss: 0.071 
Epoch:0 (29/147) Data: 0.001554s | Batch: 7.725s | future_traj_r_loss: 0.196 | future_traj_l_loss: 0.185 | rec_r_loss: 0.110| rec_l_loss: 0.110| total_loss: 0.667 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.072 
Epoch:0 (30/147) Data: 0.001300s | Batch: 7.472s | future_traj_r_loss: 0.178 | future_traj_l_loss: 0.254 | rec_r_loss: 0.112| rec_l_loss: 0.112| total_loss: 0.746 | future_valid_r: 32.0 | future_valid_l: 30.0 | obj_loss: 0.066 
Epoch:0 (31/147) Data: 0.002321s | Batch: 7.236s | future_traj_r_loss: 0.189 | future_traj_l_loss: 0.333 | rec_r_loss: 0.106| rec_l_loss: 0.105| total_loss: 0.829 | future_valid_r: 30.0 | future_valid_l: 31.0 | obj_loss: 0.078 
Epoch:0 (32/147) Data: 0.001364s | Batch: 7.014s | future_traj_r_loss: 0.244 | future_traj_l_loss: 0.277 | rec_r_loss: 0.104| rec_l_loss: 0.104| total_loss: 0.797 | future_valid_r: 30.0 | future_valid_l: 29.0 | obj_loss: 0.078 
